Model name:            AMD EPYC 7H12 64-Core Processor
size	np	Newton	CG	time	iters_cg/timespent
128	1	300	1510	0.130638	11558.7
128	4	300	1512	0.0419632	36031.6
128	16	300	1534	0.026968	56882.2
128	64	300	1536	0.0335914	45726
256	1	300	2779	0.863577	3218.01
256	4	300	2780	0.232635	11950.1
256	16	300	2803	0.0849803	32984.1
256	64	300	2793	0.0758762	36810
512	1	300	5358	8.61589	621.874
512	4	300	5364	2.84388	1886.16
512	16	300	5403	0.46857	11530.8
512	64	300	5379	0.236897	22706.1
1024	1	303	10482	87.8829	119.272
1024	4	304	10509	61.2092	171.69
1024	16	309	10714	14.9295	717.638
1024	64	302	10552	1.31838	8003.75
