Model name:            AMD EPYC 7742 64-Core Processor
size	np	Newton	CG	time	iters_cg/timespent
128	1	300	1510	0.130892	11536.2
128	2	300	1514	0.0728231	20790.1
128	3	301	1546	0.0541397	28555.8
128	4	300	1512	0.0426102	35484.5
128	5	300	1537	0.0396981	38717.2
128	6	301	1545	0.0371502	41588
128	7	300	1542	0.0340718	45257.4
128	8	300	1536	0.0315521	48681.4
128	9	300	1550	0.0316649	48950.1
128	10	300	1535	0.0302593	50728.2
128	11	300	1546	0.0293739	52631.7
128	12	300	1534	0.0294943	52010.1
128	13	300	1540	0.034513	44620.8
128	14	300	1542	0.0273216	56438.9
128	15	300	1534	0.0269789	56859.2
128	16	300	1534	0.0259765	59053.3
128	17	300	1532	0.031711	48311.4
128	18	300	1541	0.0297854	51736.7
128	19	301	1536	0.0333279	46087.5
128	20	300	1542	0.0280368	54999.1
128	21	300	1542	0.0290604	53061.9
128	22	300	1545	0.0285271	54159
128	23	300	1527	0.0321534	47491.1
128	24	300	1541	0.0259185	59455.7
128	25	300	1528	0.027705	55152.5
128	26	300	1541	0.0287722	53558.6
128	27	300	1550	0.0288932	53645.9
128	28	300	1541	0.027865	55302.4
128	29	301	1535	0.0332479	46168.3
128	30	300	1539	0.0292688	52581.6
128	31	301	1537	0.0273885	56118.5
128	32	300	1532	0.027367	55979.9
256	1	300	2779	0.849611	3270.91
256	2	300	2781	0.439599	6326.22
256	3	300	2803	0.306698	9139.29
256	4	300	2780	0.24091	11539.6
256	5	300	2810	0.196956	14267.1
256	6	300	2805	0.168775	16619.8
256	7	300	2809	0.151413	18551.9
256	8	300	2802	0.139013	20156.4
256	9	300	2822	0.132467	21303.4
256	10	300	2812	0.121877	23072.4
256	11	300	2814	0.110538	25457.2
256	12	300	2797	0.103021	27149.9
256	13	300	2806	0.113052	24820.5
256	14	300	2803	0.0935305	29968.8
256	15	300	2812	0.0874279	32163.7
256	16	300	2803	0.0881109	31812.2
256	17	300	2800	0.0828597	33792
256	18	300	2813	0.0851463	33037.3
256	19	300	2797	0.0932638	29990.2
256	20	300	2809	0.0780504	35989.5
256	21	300	2811	0.079557	35333.2
256	22	300	2822	0.0776157	36358.6
256	23	300	2789	0.0758053	36791.6
256	24	300	2814	0.0769251	36581.1
256	25	300	2786	0.0828042	33645.6
256	26	300	2807	0.0753825	37236.8
256	27	300	2823	0.0719759	39221.5
256	28	300	2806	0.0730361	38419.4
256	29	301	2797	0.138325	20220.5
256	30	300	2813	0.073099	38482.1
256	31	301	2798	0.0794676	35209.3
256	32	300	2797	0.0705087	39668.9
512	1	300	5358	8.4128	636.887
512	2	300	5361	4.80269	1116.25
512	3	300	5394	3.59217	1501.6
512	4	300	5364	2.68696	1996.31
512	5	300	5400	1.74406	3096.23
512	6	300	5393	1.22957	4386.08
512	7	300	5412	1.151	4701.98
512	8	300	5408	0.903394	5986.31
512	9	300	5420	0.932534	5812.12
512	10	300	5405	0.729581	7408.36
512	11	300	5416	0.748108	7239.6
512	12	301	5411	0.630093	8587.62
512	13	300	5398	0.623289	8660.51
512	14	300	5410	0.546587	9897.78
512	15	300	5403	0.509781	10598.7
512	16	300	5403	0.503948	10721.3
512	17	300	5398	0.497535	10849.5
512	18	300	5422	0.460142	11783.3
512	19	300	5388	0.619959	8690.9
512	20	300	5406	0.420251	12863.7
512	21	300	5411	0.403982	13394.1
512	22	300	5408	0.399697	13530.2
512	23	300	5377	0.419579	12815.2
512	24	300	5414	0.374326	14463.3
512	25	301	5377	0.494107	10882.3
512	26	300	5411	0.357374	15141
512	27	300	5423	0.348962	15540.4
512	28	300	5409	0.33321	16233
512	29	300	5365	0.558656	9603.4
512	30	300	5421	0.31753	17072.4
512	31	300	5355	0.480952	11134.2
512	32	300	5379	0.311541	17265.8
1024	1	303	10482	87.4445	119.87
1024	2	304	10489	64.2676	163.208
1024	3	304	10567	61.1484	172.809
1024	4	304	10509	60.2466	174.433
1024	5	303	10590	45.3642	233.444
1024	6	303	10550	44.9367	234.775
1024	7	307	10702	44.3546	241.283
1024	8	300	10576	44.2917	238.78
1024	9	308	10696	37.1145	288.19
1024	10	303	10614	32.5078	326.506
1024	11	301	10549	29.4896	357.719
1024	12	304	10631	28.4517	373.651
1024	13	307	10664	22.5002	473.952
1024	14	304	10666	18.3229	582.113
1024	15	302	10597	15.0522	704.015
1024	16	309	10714	14.1942	754.813
1024	17	306	10621	11.1451	952.973
1024	18	301	10614	7.975	1330.91
1024	19	304	10563	6.1032	1730.73
1024	20	301	10577	4.96881	2128.68
1024	21	302	10611	3.91749	2708.62
1024	22	305	10607	3.75845	2822.17
1024	23	301	10493	3.01076	3485.17
1024	24	301	10602	2.55627	4147.45
1024	25	303	10503	3.12361	3362.45
1024	26	303	10599	2.51889	4207.8
1024	27	302	10588	2.06314	5131.98
1024	28	306	10690	2.12185	5038.05
1024	29	304	10520	2.27662	4620.88
1024	30	303	10642	1.92046	5541.37
1024	31	301	10476	1.99427	5253.04
1024	32	303	10564	1.90475	5546.13
