Model name:            AMD EPYC 7H12 64-Core Processor
size	np	Newton	CG	time	iters_cg/timespent
128	1	300	1510	0.129006	11704.9
128	4	300	1512	0.0430493	35122.5
128	16	300	1534	0.0250502	61237.1
128	64	300	1536	0.0271772	56517.9
256	1	300	2779	0.864711	3213.79
256	4	300	2780	0.235669	11796.2
256	16	300	2803	0.0840009	33368.7
256	64	300	2793	0.0572228	48809.2
512	1	300	5358	8.61431	621.988
512	4	300	5364	2.76897	1937.18
512	16	300	5403	0.472567	11433.3
512	64	300	5379	0.19832	27122.8
1024	1	303	10482	88.3662	118.62
1024	4	304	10509	61.45	171.017
1024	16	309	10714	14.9217	718.017
1024	64	302	10552	1.31269	8038.48
