Model name:            AMD EPYC 7H12 64-Core Processor
size	np	Newton	CG	time	iters_cg/timespent
128	1	300	1510	0.132461	11399.6
128	2	300	1514	0.0687283	22028.8
128	3	301	1546	0.0531824	29069.8
128	4	300	1512	0.0437054	34595.3
128	5	300	1537	0.0404388	38008.1
128	6	301	1545	0.0353071	43758.9
128	7	300	1542	0.0329795	46756.3
128	8	300	1536	0.031627	48566.1
128	9	300	1550	0.0318462	48671.4
128	10	300	1535	0.0295579	51932
128	11	300	1546	0.0301995	51192.9
128	12	300	1534	0.0279576	54868.8
128	13	300	1540	0.0310164	49651.2
128	14	300	1542	0.0265148	58156.3
128	15	300	1534	0.026284	58362.5
128	16	300	1534	0.0247606	61953.3
128	17	300	1532	0.0301875	50749.4
128	18	300	1541	0.0258395	59637.5
128	19	301	1536	0.0336287	45675.3
128	20	300	1542	0.026333	58557.6
128	21	300	1542	0.0258836	59574.5
128	22	300	1545	0.0247772	62355.7
128	23	300	1527	0.0298343	51182.7
128	24	300	1541	0.0240178	64160.7
128	25	300	1528	0.0238805	63985.2
128	26	300	1541	0.0259818	59310.8
128	27	300	1550	0.0270754	57247.5
128	28	300	1541	0.0248762	61946.9
128	29	301	1535	0.0300532	51076.2
128	30	300	1539	0.0250118	61530.9
128	31	301	1537	0.0238925	64329.7
128	32	300	1532	0.0243146	63007.5
256	1	300	2779	0.865454	3211.03
256	2	300	2781	0.441368	6300.86
256	3	300	2803	0.304149	9215.88
256	4	300	2780	0.238901	11636.6
256	5	300	2810	0.193703	14506.7
256	6	300	2805	0.163017	17206.7
256	7	300	2809	0.146017	19237.5
256	8	300	2802	0.132307	21177.9
256	9	300	2822	0.128584	21946.7
256	10	300	2812	0.109764	25618.6
256	11	300	2814	0.104045	27046
256	12	300	2797	0.0968959	28866
256	13	300	2806	0.11001	25506.7
256	14	300	2803	0.0913337	30689.7
256	15	300	2812	0.0853546	32944.9
256	16	300	2803	0.0847484	33074.4
256	17	300	2800	0.0823028	34020.7
256	18	300	2813	0.0806012	34900.2
256	19	300	2797	0.0886539	31549.7
256	20	300	2809	0.073762	38082
256	21	300	2811	0.0713524	39396
256	22	300	2822	0.0707444	39890.1
256	23	300	2789	0.0679039	41072.7
256	24	300	2814	0.066833	42104.9
256	25	300	2786	0.0763692	36480.7
256	26	300	2807	0.0697797	40226.6
256	27	300	2823	0.066648	42356.8
256	28	300	2806	0.0637817	43993.8
256	29	301	2797	0.128482	21769.5
256	30	300	2813	0.0645825	43556.7
256	31	301	2798	0.0717547	38993.9
256	32	300	2797	0.0597219	46833.7
512	1	300	5358	8.61631	621.844
512	2	300	5361	4.92303	1088.96
512	3	300	5394	3.67598	1467.36
512	4	300	5364	2.84665	1884.32
512	5	300	5400	1.81232	2979.61
512	6	300	5393	1.19839	4500.19
512	7	300	5412	1.10744	4886.95
512	8	300	5408	0.869018	6223.11
512	9	300	5420	0.925212	5858.12
512	10	300	5405	0.692969	7799.77
512	11	300	5416	0.747423	7246.23
512	12	301	5411	0.598279	9044.28
512	13	300	5398	0.59454	9079.29
512	14	300	5410	0.506156	10688.4
512	15	300	5403	0.476098	11348.5
512	16	300	5403	0.47459	11384.6
512	17	300	5398	0.474591	11374
512	18	300	5422	0.417863	12975.5
512	19	300	5388	0.596409	9034.07
512	20	300	5406	0.398534	13564.7
512	21	300	5411	0.371604	14561.2
512	22	300	5408	0.379158	14263.2
512	23	300	5377	0.397729	13519.3
512	24	300	5414	0.340109	15918.4
512	25	301	5377	0.452546	11881.7
512	26	300	5411	0.327237	16535.4
512	27	300	5423	0.317964	17055.4
512	28	300	5409	0.321136	16843.4
512	29	300	5365	0.501218	10703.9
512	30	300	5421	0.290107	18686.2
512	31	300	5355	0.441674	12124.3
512	32	300	5379	0.279996	19211
1024	1	303	10482	87.8351	119.337
1024	2	304	10489	64.8618	161.713
1024	3	304	10567	61.609	171.517
1024	4	304	10509	61.2186	171.664
1024	5	303	10590	49.6112	213.46
1024	6	303	10550	49.0788	214.96
1024	7	307	10702	48.4377	220.944
1024	8	300	10576	45.9934	229.946
1024	9	308	10696	37.272	286.972
1024	10	303	10614	32.3283	328.319
1024	11	301	10549	30.2154	349.127
1024	12	304	10631	29.0956	365.381
1024	13	307	10664	23.3112	457.463
1024	14	304	10666	19.2101	555.228
1024	15	302	10597	15.7813	671.489
1024	16	309	10714	15.1868	705.479
1024	17	306	10621	11.6269	913.489
1024	18	301	10614	8.48142	1251.44
1024	19	304	10563	6.29173	1678.87
1024	20	301	10577	5.1358	2059.46
1024	21	302	10611	4.0164	2641.92
1024	22	305	10607	3.74314	2833.71
1024	23	301	10493	3.08505	3401.25
1024	24	301	10602	2.73941	3870.18
1024	25	303	10503	3.21632	3265.53
1024	26	303	10599	2.57536	4115.53
1024	27	302	10588	2.1078	5023.24
1024	28	306	10690	2.13201	5014.05
1024	29	304	10520	2.30552	4562.95
1024	30	303	10642	1.90428	5588.46
1024	31	301	10476	1.99365	5254.68
1024	32	303	10564	1.87915	5621.68
